Name,Gender,Count,Year
Jordan,F,1423,2012
Alex,F,132,2012
Jordan,M,7822,2012
Alex,M,3866,2012
Riley,M,2888,2012
Avery,M,2018,2012
Taylor,M,887,2012
Avery,F,9183,2013
Riley,F,4939,2013
Taylor,F,4142,2013
Jordan,F,1237,2013
Alex,F,146,2013
Jordan,M,7214,2013
Alex,M,3553,2013
Riley,M,2558,2013
Avery,M,2051,2013
Taylor,M,825,2013
Avery,F,9576,2014
Riley,F,4798,2014
Taylor,F,3815,2014
Jordan,F,1313,2014
Alex,F,160,2014
Jordan,M,6889,2014
Alex,M,3187,2014
Riley,M,2446,2014
Avery,M,2283,2014
Taylor,M,699,2014
Avery,F,9351,2015
Riley,F,5733,2015
Taylor,F,3752,2015
Jordan,F,1218,2015
Alex,F,187,2015
Jordan,M,6319,2015
Alex,M,3108,2015
Avery,M,2217,2015
Riley,M,2093,2015
Taylor,M,658,2015
Avery,F,8770,2016
Riley,F,7153,2016
Taylor,F,3278,2016
Jordan,F,1124,2016
Alex,F,177,2016
Jordan,M,5662,2016
Alex,M,2850,2016
Avery,M,2123,2016
Riley,M,1727,2016
Taylor,M,645,2016
Avery,F,8230,2017
Riley,F,6361,2017
Taylor,F,2703,2017
Jordan,F,891,2017
Alex,F,189,2017
Jordan,M,5159,2017
Alex,M,2601,2017
Avery,M,2197,2017
Riley,M,1471,2017
Taylor,M,576,2017
Avery,F,8092,2018
Riley,F,6005,2018
Taylor,F,2496,2018
Jordan,F,836,2018
Alex,F,171,2018
Jordan,M,4686,2018
Alex,M,2524,2018
Avery,M,2113,2018
Riley,M,1468,2018
Taylor,M,534,2018
Avery,F,7343,2019
Riley,F,5700,2019
Taylor,F,2046,2019
Jordan,F,771,2019
Alex,F,151,2019
Jordan,M,4334,2019
Alex,M,2394,2019
Avery,M,1933,2019
Riley,M,1372,2019
Taylor,M,463,2019
Avery,F,6737,2020
Riley,F,5332,2020
Taylor,F,1739,2020
Jordan,F,700,2020
Alex,F,171,2020
Jordan,M,4274,2020
Alex,M,2116,2020
Avery,M,1789,2020
Riley,M,1361,2020
Taylor,M,460,2020
Avery,F,6793,2021
Riley,F,5210,2021
Taylor,F,1541,2021
Jordan,F,738,2021
Alex,F,130,2021
Jordan,M,4006,2021
Alex,M,1961,2021
Avery,M,1797,2021
Riley,M,1441,2021
Taylor,M,429,2021
Avery,F,6230,2022
Riley,F,4886,2022
Taylor,F,1361,2022
Jordan,F,621,2022
Alex,F,148,2022
Jordan,M,3878,2022
Alex,M,1995,2022
Avery,M,1653,2022
Riley,M,1589,2022
Taylor,M,448,2022
